"Gene.name"	"Row.names"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"11VG"	"37VG"	"38VG"	"50VG"	"54VG"	"55-VG"	"12MII"	"13-MII"	"16MII"	"17-MII"	"53MII"	"7-MII"	"85-MII"
"GCSAML"	"ENSG00000169224"	0.7360336	-0.491738	0.4743208	0.4983634	0.7214459	-0.4332874	0.03629072	-0.1653265	-0.4485854	-0.4702652	-1.10436	-0.3135678	0.6119043	-1.450216	-2.276816	-1.57212	-3.872912	-3.872912
"PHLPP1"	"ENSG00000081913"	0.5246023	2.218833	0.4735632	0.4986165	0.7217242	1.631946	2.675676	3.041898	2.437501	2.206588	2.289591	2.536256	2.181833	2.946577	1.789145	-0.1913724	1.186447	0.9849117
"GATA4"	"ENSG00000136574"	0.6448307	1.281313	0.4736811	0.4986466	0.7217242	1.189752	2.625833	2.143453	2.097746	0.9481332	-1.267786	1.134518	2.7552	0.9249436	0.1349622	1.38222	-3.872912	-3.366578
"LAMTOR5"	"ENSG00000134248"	0.3191855	6.287829	0.473403	0.4987748	0.7218438	6.156022	5.434939	6.291885	6.024376	6.331815	7.647194	4.968028	6.177465	4.969237	6.96262	5.82338	6.604538	6.49937
"RNF149"	"ENSG00000163162"	0.3060745	4.335636	0.4728626	0.4989161	0.7219818	3.730414	4.302099	4.70712	4.462456	4.515947	4.52252	3.832779	3.370128	4.09133	4.506325	4.9783	1.734986	4.374003
"TNFRSF12A"	"ENSG00000006327"	-0.7070237	4.261363	0.4729222	0.4989906	0.7219818	2.54586	0.9126773	5.981973	2.569666	3.433735	3.568963	4.103668	4.002086	1.413894	2.682738	5.780339	-3.872912	6.521823
"TRAF3"	"ENSG00000131323"	0.6546373	4.634911	0.4728062	0.4990427	0.7219818	5.832615	5.408612	3.968355	5.12381	3.938858	2.785216	5.1196	4.507045	5.85262	3.050509	1.763484	-0.3006618	-3.872912
"DLG1"	"ENSG00000075711"	0.2103298	6.528474	0.4725593	0.4990523	0.7219818	6.388089	6.741078	6.305225	6.364994	6.49181	6.211971	6.648288	6.177481	6.710368	6.685937	5.33517	6.032322	5.113459
"SBDSP1"	"ENSG00000225648"	0.8799591	-0.3881481	0.4726395	0.4991175	0.7220102	-1.619857	0.4150759	1.653601	-0.505576	-3.872912	-0.8759506	-0.6802655	0.901898	-2.206793	0.2547729	-3.872912	-3.872912	-3.872912
"MFSD6"	"ENSG00000151690"	0.6731495	1.869121	0.4725035	0.4991786	0.7220327	2.658833	1.592857	2.835701	2.189444	-0.1941026	1.584398	3.399029	1.853512	1.670756	-2.276816	-0.9887532	-3.872912	-2.219604
"COL14A1"	"ENSG00000187955"	0.8325348	0.8778388	0.4721649	0.4993307	0.7221868	0.8323807	-1.337033	-2.489605	2.297524	0.9890648	-3.872912	-1.371689	1.001574	1.050407	0.7280287	-3.212759	-3.872912	-3.872912
"SLC2A14"	"ENSG00000173262"	0.563818	1.844765	0.4717991	0.4994281	0.7222154	2.382241	1.798393	3.325354	1.521368	1.771959	1.410146	0.4302402	1.747921	1.436552	1.54235	2.895793	2.053143	-3.872912
"DHX35"	"ENSG00000101452"	-0.6328788	3.788164	0.4719184	0.4994416	0.7222154	3.236351	4.182812	3.005552	3.602782	2.975634	3.619627	5.088532	4.937111	3.730345	2.830599	-2.393925	-3.872912	5.219812
"HYKK"	"ENSG00000188266"	-0.5908097	2.028664	0.4716782	0.4995392	0.7222906	1.870679	1.991212	1.971365	1.116025	1.593623	2.15357	1.85449	-1.768064	2.157522	1.526436	2.396909	-2.993456	4.344438
